Strain,Rep,pH,Reduction
10403S,1,6.5,1.175379884
dltA,1,6.5,3.709065635
mprF,1,6.5,5.325853579
dltA mprF,1,6.5,6.15075644
10403S,1,6,0.655305503
dltA,1,6,4.108728279
mprF,1,6,5.576296172
dltA mprF,1,6,6.379305518
10403S,1,5.5,0.554338475
dltA,1,5.5,1.40198894
mprF,1,5.5,4.011643981
dltA mprF,1,5.5,6.181843588
10403S,2,6.5,1.126114682
dltA,2,6.5,1.918095882
mprF,2,6.5,5.74209704
dltA mprF,2,6.5,6.021476232
10403S,2,6,0.740155013
dltA,2,6,2.08025492
mprF,2,6,6.51720692
dltA mprF,2,6,6.38249076
10403S,2,5.5,0.764502797
dltA,2,5.5,1.916944452
mprF,2,5.5,4.351416608
dltA mprF,2,5.5,5.284167963
10403S,3,6.5,1.223871434
dltA,3,6.5,3.424332926
mprF,3,6.5,6.772227355
dltA mprF,3,6.5,6.424387681
10403S,3,6,0.379625743
dltA,3,6,2.712749687
mprF,3,6,6.582368149
dltA mprF,3,6,6.424387681
10403S,3,5.5,0.314142968
dltA,3,5.5,1.431398918
mprF,3,5.5,6.28024706
dltA mprF,3,5.5,6.158279576